src_ip,src_port,dst_ip,dst_port,protocol,connection_state,duration,src_bytes,dst_bytes,src_packets,dst_packets,src_ttl,dst_ttl,service,500473.9375,621800.9375,2,2,0,0,0,0,66,82,0,0,0,0,1421927414,1421927414,0.017,0.013,0,0,0,0,0,0,0,0,3,7,1,3,1,1,1,attack_type,0
59.166.0.3,43743,149.171.126.8,80,tcp,FIN,1.123847,1684,10168,31,29,3,5,http,11133.1875,68365.17969,14,18,255,255,4156592363,2012216398,120,565,1,3924,9626.813999,8427.531224,1421927479,1421927480,86.422846,66.080765,0.000596,0.000468,0.000128,0,0,1,0,0,1,1,2,3,1,1,2,,0
59.166.0.4,59364,149.171.126.4,11922,tcp,FIN,0.457378,424,8824,31,29,1,4,ftp-data,6489.162109,141484.7188,8,12,255,255,271210165,488946272,53,735,0,0,4059.917848,3232.979157,1421927480,1421927480,65.293857,41.530455,0.000729,0.000539,0.00019,0,0,0,0,0,3,4,5,2,1,1,1,,0
59.166.0.3,60032,149.171.126.5,21,tcp,FIN,5.234681,2934,3742,31,29,11,15,ftp,4398.35791,5613.331543,52,54,255,255,3548270687,3750277244,56,69,0,0,6650.172291,213.542563,1421927474,1421927480,102.634997,98.758039,0.000647,0.000501,0.000146,0,0,0,0,0,1,1,2,3,1,1,1,,0
59.166.0.0,3661,149.171.126.0,46298,tcp,FIN,0.004998,3736,2456,31,29,7,7,-,5648659.5,3713485.5,18,18,255,255,823724253,826974066,208,136,0,0,13.47929,0.338126,1421927480,1421927480,0.273706,0.260471,0.0007,0.000567,0.000133,0,0,0,0,0,3,9,6,4,1,1,3,,0
59.166.0.1,54273,149.171.126.2,25740,tcp,FIN,0.761829,320,1826,31,29,1,2,ftp-data,2803.778809,16780.66797,6,8,255,255,3680789204,2658323089,53,228,0,0,10756.3832,265.910438,1421927480,1421927480,152.2842,108.74843,0.000736,0.000587,0.000149,0,0,0,0,0,2,2,3,4,1,1,1,,0
59.166.0.5,27165,149.171.126.9,143,tcp,FIN,0.272827,7816,15132,31,29,30,32,-,227308.875,440191.0313,122,126,255,255,523723794,2674352951,64,120,0,0,184.5712,183.242953,1421927480,1421927480,2.251661,2.178208,0.000693,0.000544,0.000149,0,0,0,0,0,10,2,2,3,1,1,1,,0
59.166.0.9,26555,149.171.126.0,5190,tcp,FIN,0.004651,1064,2260,31,29,4,4,-,1678778.875,3563965,12,12,255,255,2733300492,2733570011,89,188,0,0,20.058448,0.480331,1421927480,1421927480,0.393273,0.369909,0.000728,0.000578,0.00015,0,0,0,0,0,2,9,6,2,1,1,1,,0
59.166.0.0,11842,149.171.126.6,22,tcp,FIN,2.517255,9504,12402,31,29,26,31,ssh,29924.66016,39077.48438,108,116,255,255,1171202781,1171501160,88,107,0,0,2800.187415,0,1421927477,1421927480,23.521382,21.884365,0.000683,0.000542,0.000141,0,0,0,0,0,1,1,1,4,1,1,1,,0
59.166.0.1,23689,149.171.126.0,53,udp,CON,0.001073,146,178,31,29,0,0,dns,544268.375,663560.125,2,2,0,0,0,0,73,89,0,0,0,0,1421927480,1421927480,0.01,0.009,0,0,0,0,0,0,0,0,3,1,6,4,2,1,1,,0
175.45.176.3,40982,149.171.126.12,25,tcp,FIN,0.819719,9089,1856,62,252,10,8,smtp,85297.52344,17215.6543,26,20,255,255,2638333719,1499533256,350,93,0,0,1805.46174,50.86325,1421927479,1421927480,32.788761,42.491,0.053303,0.006697,0.046606,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
