src_ip,dst_ip,dst_port,duration,src_bytes,dst_bytes,src_packets,dst_packets,service,timestamp,protocol,connection_state,src_ttl,dst_ttl,attack_type
192.168.1.234,10.0.0.96,80,0.004619377798095715,197,132,4,3,http,2025-03-27 10:00:05.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.160,10.0.0.193,80,0.009004926317187481,254,53,7,4,http,2025-03-27 10:00:16.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.14,10.0.0.67,80,0.009036587714274034,313,107,7,3,http,2025-03-27 10:00:27.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.220,10.0.0.53,80,0.0068941856827431204,461,55,2,1,http,2025-03-27 10:00:13.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.154,10.0.0.91,80,0.003964088735176039,495,176,2,3,http,2025-03-27 10:00:42.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.18,10.0.0.42,80,0.0059753048873113935,433,161,3,3,http,2025-03-27 10:00:40.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.79,10.0.0.76,80,0.007063981988517852,325,161,4,1,http,2025-03-27 10:00:10.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.194,10.0.0.66,80,0.009435189380656357,350,192,3,4,http,2025-03-27 10:00:13.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.32,10.0.0.151,80,0.001612599807351933,275,57,4,3,http,2025-03-27 10:00:41.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.117,10.0.0.101,80,0.007666195825280655,439,172,3,2,http,2025-03-27 10:00:11.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.234,10.0.0.135,80,0.009189947472877397,496,152,5,1,http,2025-03-27 10:00:41.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.127,10.0.0.172,80,0.005565635470926929,248,98,4,1,http,2025-03-27 10:00:26.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.163,10.0.0.42,80,0.009687853901067061,419,145,2,3,http,2025-03-27 10:00:21.400000000,TCP,ESTABLISHED,64,64,0
192.168.1.238,10.0.0.40,80,0.003640740096214927,426,172,6,2,http,2025-03-27 10:00:24.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.115,10.0.0.116,80,0.008462164667293444,483,125,6,2,http,2025-03-27 10:00:17.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.227,10.0.0.87,80,0.005074531179661067,445,90,2,1,http,2025-03-27 10:00:38.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.198,10.0.0.188,80,0.00535951105351855,153,98,2,1,http,2025-03-27 10:00:03.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.55,10.0.0.233,80,0.0030280283076598,473,66,4,1,http,2025-03-27 10:00:31.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.54,10.0.0.153,80,0.0017696914297441278,488,126,2,4,http,2025-03-27 10:00:27.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.127,10.0.0.83,80,0.001423270960567152,396,76,3,1,http,2025-03-27 10:00:36.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.156,10.0.0.223,80,0.0032028805359953553,102,126,2,2,http,2025-03-27 10:00:05.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.246,10.0.0.86,80,0.007659128732363663,354,182,7,2,http,2025-03-27 10:00:36.000000000,TCP,ESTABLISHED,64,64,0
192.168.1.15,10.0.0.106,80,0.005252505110890377,483,189,2,4,http,2025-03-27 10:00:16.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.220,10.0.0.31,80,0.004515146725071529,257,149,5,3,http,2025-03-27 10:00:25.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.62,10.0.0.39,80,0.001,9926,125,174,1,http,2025-03-27 10:00:49.300000000,TCP,ESTABLISHED,64,64,1
192.168.1.170,10.0.0.31,80,0.009382865477164194,298,70,7,4,http,2025-03-27 10:00:10.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.119,10.0.0.120,80,0.008809371837119075,331,106,2,4,http,2025-03-27 10:00:39.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.67,10.0.0.62,80,0.0029129811845794345,157,103,7,3,http,2025-03-27 10:00:01.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.44,10.0.0.25,80,0.0020396022593723254,109,69,6,1,http,2025-03-27 10:00:03.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.64,10.0.0.116,80,0.006345785930509896,124,87,4,1,http,2025-03-27 10:00:12.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.96,10.0.0.36,80,0.007611493547710211,237,152,7,3,http,2025-03-27 10:00:43.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.155,10.0.0.213,80,0.005983413857315498,196,122,7,2,http,2025-03-27 10:00:18.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.164,10.0.0.219,80,0.009624361190075443,251,115,6,1,http,2025-03-27 10:00:08.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.80,10.0.0.53,80,0.006804260030921642,352,163,6,4,http,2025-03-27 10:00:46.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.125,10.0.0.156,80,0.0011026856521062103,168,154,4,3,http,2025-03-27 10:00:46.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.243,10.0.0.64,80,0.00320711868953449,125,163,5,4,http,2025-03-27 10:00:06.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.158,10.0.0.68,80,0.006028378299247781,441,107,5,4,http,2025-03-27 10:00:18.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.177,10.0.0.221,80,0.00479052542332653,438,108,5,3,http,2025-03-27 10:00:29.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.14,10.0.0.163,80,0.006930637212952409,122,165,4,1,http,2025-03-27 10:00:45.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.248,10.0.0.214,80,0.008271548601098015,313,117,2,4,http,2025-03-27 10:00:08.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.170,10.0.0.207,80,0.00534590432897614,146,74,4,1,http,2025-03-27 10:00:41.800000000,TCP,ESTABLISHED,64,64,0
