src_ip,dst_ip,dst_port,duration,src_bytes,dst_bytes,src_packets,dst_packets,service,timestamp,protocol,connection_state,src_ttl,dst_ttl,attack_type
192.168.1.198,10.0.0.230,80,0.005589952704063738,443,50,5,3,http,2025-03-27 10:00:36.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.203,10.0.0.108,80,0.004927817618843449,376,150,5,3,http,2025-03-27 10:00:02.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.89,10.0.0.89,80,0.0060988059088832435,440,162,2,1,http,2025-03-27 10:00:29.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.17,10.0.0.244,80,0.009870492921311869,460,110,4,3,http,2025-03-27 10:00:35.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.162,10.0.0.9,80,0.009320540568029688,205,84,2,2,http,2025-03-27 10:00:09.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.246,10.0.0.40,80,0.007254240938206387,315,54,5,4,http,2025-03-27 10:00:11.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.112,10.0.0.214,80,0.006938287117695148,241,122,7,2,http,2025-03-27 10:00:00.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.149,10.0.0.177,80,0.008089584258032636,205,172,5,4,http,2025-03-27 10:00:17.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.18,10.0.0.236,80,0.0025591559327658563,211,178,5,2,http,2025-03-27 10:00:44.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.38,10.0.0.109,80,0.004401991470935047,407,135,4,3,http,2025-03-27 10:00:03.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.209,10.0.0.234,80,0.008041997958488584,270,134,4,4,http,2025-03-27 10:00:32.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.178,10.0.0.42,80,0.009423952974754297,352,152,6,3,http,2025-03-27 10:00:36.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.31,10.0.0.229,80,0.0066834845327399025,300,190,2,3,http,2025-03-27 10:00:28.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.119,10.0.0.187,80,0.0076529072085818346,481,118,7,3,http,2025-03-27 10:00:44.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.133,10.0.0.65,80,0.006286574837888302,402,82,2,3,http,2025-03-27 10:00:25.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.39,10.0.0.246,80,0.004697341532738656,235,157,4,4,http,2025-03-27 10:00:16.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.28,10.0.0.63,80,0.0031428296351783637,117,93,3,1,http,2025-03-27 10:00:40.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.218,10.0.0.216,80,0.004213487387243989,499,100,5,1,http,2025-03-27 10:00:29.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.65,10.0.0.196,80,0.00921985784291324,116,139,2,2,http,2025-03-27 10:00:20.600000000,TCP,ESTABLISHED,64,64,0
192.168.1.15,10.0.0.235,80,0.008977502483618525,145,177,2,4,http,2025-03-27 10:00:05.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.144,10.0.0.138,80,0.006889905197588808,498,59,4,1,http,2025-03-27 10:00:08.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.229,10.0.0.195,62566,0.007006311758619429,428,121,4,3,-,2025-03-27 10:00:49.900000000,TCP,ESTABLISHED,64,64,1
192.168.1.120,10.0.0.49,80,0.0019210330149818928,304,108,6,1,http,2025-03-27 10:00:23.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.99,10.0.0.40,80,0.005787096178386107,362,131,2,2,http,2025-03-27 10:00:14.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.246,10.0.0.146,80,0.0028921113473271386,300,173,2,4,http,2025-03-27 10:00:33.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.105,10.0.0.28,80,0.004414672363748358,430,155,4,2,http,2025-03-27 10:00:26.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.162,10.0.0.77,80,0.004156594295483919,425,199,4,1,http,2025-03-27 10:00:17.100000000,TCP,ESTABLISHED,64,64,0
192.168.1.102,10.0.0.197,80,0.005774761699819359,100,67,4,2,http,2025-03-27 10:00:13.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.153,10.0.0.136,80,0.0065214903244908634,311,108,7,1,http,2025-03-27 10:00:31.700000000,TCP,ESTABLISHED,64,64,0
192.168.1.107,10.0.0.135,80,0.0022024518467395134,401,116,3,1,http,2025-03-27 10:00:07.500000000,TCP,ESTABLISHED,64,64,0
192.168.1.53,10.0.0.237,80,0.007611296897149404,293,151,6,1,http,2025-03-27 10:00:24.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.84,10.0.0.216,80,0.0035334028861698924,295,134,6,1,http,2025-03-27 10:00:37.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.90,10.0.0.50,80,0.0037035556343683507,329,174,5,1,http,2025-03-27 10:00:08.900000000,TCP,ESTABLISHED,64,64,0
192.168.1.179,10.0.0.60,80,0.0026321283309329855,400,107,3,3,http,2025-03-27 10:00:18.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.111,10.0.0.94,80,0.00480968657768952,465,97,3,3,http,2025-03-27 10:00:12.800000000,TCP,ESTABLISHED,64,64,0
192.168.1.137,10.0.0.253,80,0.007692632989418976,307,181,6,1,http,2025-03-27 10:00:16.200000000,TCP,ESTABLISHED,64,64,0
192.168.1.4,10.0.0.210,80,0.006420119887611999,456,188,2,1,http,2025-03-27 10:00:39.300000000,TCP,ESTABLISHED,64,64,0
192.168.1.178,10.0.0.151,80,0.0040878832404893164,244,91,4,2,http,2025-03-27 10:00:22.000000000,TCP,ESTABLISHED,64,64,0
